item,price,shipping,taxes,total_cost,link,have_bought
led strip,115.76,,51.66,167.42,https://pt.aliexpress.com/item/1005006935147623.html?spm=a2g0o.productlist.main.1.5342546cNUXFn7&algo_pvid=b5f369b9-4e6b-48ce-adef-b247baed5215&algo_exp_id=b5f369b9-4e6b-48ce-adef-b247baed5215-0&pdp_npi=4%40dis%21BRL%2118.66%214.99%21%21%2122.55%216.04%21%4021030ea417271402126328845eb809%2112000038782739290%21sea%21BR%210%21ABX&curPageLogUid=mTd4XayIyd3E&utparam-url=scene%3Asearch%7Cquery_from%3A,False
node mcu,33.79,3.3,,37.09,https://www.makerhero.com/produto/modulo-wifi-esp8266-nodemcu-esp-12/,True
sd module,13.79,3.3,,17.09,https://www.makerhero.com/produto/modulo-mp3-dfplayer-mini/,True
speaker,30.02,,13.4,43.42,https://pt.aliexpress.com/item/1005005772172111.html?src=google,False
giroscope,15.79,3.3,,19.09,https://www.makerhero.com/produto/acelerometro-e-giroscopio-3-eixos-6-dof-mpu-6050/,True
button,4.06,,1.88,5.94,https://pt.aliexpress.com/item/1005006953954542.html?spm=a2g0o.productlist.main.7.46d951362pUFx4&algo_pvid=5f6ddc42-1a3c-4a32-aecb-ade2539bce9d&aem_p4p_detail=20240927091551831443705754560009648311&algo_exp_id=5f6ddc42-1a3c-4a32-aecb-ade2539bce9d-3&pdp_npi=4%40dis%21BRL%216.61%214.99%21%21%218.06%216.08%21%40210308a417274537511881689eeac3%2112000038841440567%21sea%21BR%210%21ABX&curPageLogUid=2xQbx66zgz9N&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=20240927091551831443705754560009648311_1,False
LiPo battery,59.9,,,59.9,https://pt.aliexpress.com/item/1005007351494646.html?src=google&src=google&albch=shopping&acnt=768-202-3196&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&&albagn=888888&&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=pt1005007351494646&ds_e_product_merchant_id=5399035513&ds_e_product_country=BR&ds_e_product_language=pt&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=21461839805&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gclid=Cj0KCQjwmOm3BhC8ARIsAOSbapUMEk8jJnS1pMQtLPQJBi4uATzSz0Js1tpEg_yFK8DhtChJ2f-IEWYaAv76EALw_wcB,False
battery recharging board,4.9,,,4.9,https://www.makerhero.com/produto/modulo-carregador-de-bateria-de-litio-tp4056/,False
step up,7.9,,,7.9,https://www.makerhero.com/produto/conversor-boost-dc-step-up/,False
usb cable,9.99,15.56,,25.55,,True
polycarbonate tube,161.0,,71.9,232.9,https://pt.aliexpress.com/item/1005006347589881.html?spm=a2g0o.productlist.main.93.3aa03d53zQMhBH&algo_pvid=a3ac8f4d-c5e1-4bcf-b00a-6a7dbdd88d10&algo_exp_id=a3ac8f4d-c5e1-4bcf-b00a-6a7dbdd88d10-46&pdp_npi=4%40dis%21BRL%21149.72%21122.77%21%21%21182.63%21149.76%21%40210308a417271998285397652eba64%2112000036844492845%21sea%21BR%210%21ABX&curPageLogUid=OX7BYSh7eNmT&utparam-url=scene%3Asearch%7Cquery_from%3A,False
belt holder,64.4,,,64.4,https://ricksforge.com.br/products/prendedor-de-cinto-covertec?srsltid=AfmBOorMnjY11J4Kr2lKY8BgwuET70hxJXPXIz6cQEt2Bevu4OMCwN-n,False
